Index,Physical Manufacturer,License PM
0,"BIOSENSE WEBSTER, INC., CIRCUITO INTERIOR NORTE 1820, PARQUE INDUSTRIAL SALVARCAR, CIUDAD JUAREZ, CHIHUAHUA 32574, MEXICO",
1,"ITD GMBH, SPORTPLATZSTRASSE 3, 84381 JOHANNISKIRCHEN, BAYERN, GERMANY",
2,"STOCKERT GMBH, BOETZINGER STRASSE 72, 79111 FREIBURG, GERMANY",
3,"BOWAELECTRONIC GMBH & CO. KG, HEINRICH-HERTZ STRASSE 4-10, 72810 GOMARINGEN, GERMANY",
4,"SYNTHES PRODUKTIONS GMBH, IM BIFANG 6, 4614 HÄGENDORF, SWITZERLAND","Eimattstrasse 3,4436 Oberdorf, Switzerland | Im Bifang 6,4614 Hägendorf, Switzerland | 1051 Synthes Avenue, Monument, CO 80132, USA | Bohnackerweg 5, 2545 Selzach, Switzerland | lndustriestrasse 28, 2545 Selzach, Switzerland"
5,"SYNTHES USA LLC, 1051 SYNTHES AVENUE, MONUMENT, CO 80132, USA","Eimattstrasse 3,4436 Oberdorf, Switzerland | Im Bifang 6,4614 Hägendorf, Switzerland | 1051 Synthes Avenue, Monument, CO 80132, USA | Bohnackerweg 5, 2545 Selzach, Switzerland | lndustriestrasse 28, 2545 Selzach, Switzerland"
6,"SYNTHES GMBH, INDUSTRIESTRASSE 28, 2545 SELZACH, SWITZERLAND","Eimattstrasse 3,4436 Oberdorf, Switzerland | Im Bifang 6,4614 Hägendorf, Switzerland | 1051 Synthes Avenue, Monument, CO 80132, USA | Bohnackerweg 5, 2545 Selzach, Switzerland | lndustriestrasse 28, 2545 Selzach, Switzerland"
7,"SYNTHES GMBH, IM KIRCHENHÜRSTLE 4-6, 79224 UMKIRCH BEI FREIBURG, GERMANY","Eimattstrasse 3,4436 Oberdorf, Switzerland | Im Bifang 6,4614 Hägendorf, Switzerland | 1051 Synthes Avenue, Monument, CO 80132, USA | Bohnackerweg 5, 2545 Selzach, Switzerland | lndustriestrasse 28, 2545 Selzach, Switzerland"
8,"SYNTHES GMBH, BOHNACKERWEG 5, 2545 SELZACH, SWITZERLAND","Eimattstrasse 3,4436 Oberdorf, Switzerland | Im Bifang 6,4614 Hägendorf, Switzerland | 1051 Synthes Avenue, Monument, CO 80132, USA | Bohnackerweg 5, 2545 Selzach, Switzerland | lndustriestrasse 28, 2545 Selzach, Switzerland"
9,"JOHNSON & JOHNSON VISION CARE (IRELAND), THE NATIONAL TECHNOLOGY PARK, LIMERICK, IRELAND","JOHNSON & JOHNSON VISION CARE, INC., 7500 CENTURION PARKWAY, JACKSONVILLE, FL 32256, USA | JOHNSON & JOHNSON VISION CARE (IRELAND), THE NATIONAL TECHNOLOGY PARK, LIMERICK, IRELAND"
10,"JOHNSON & JOHNSON VISION CARE, INC., 7500 CENTURION PARKWAY, JACKSONVILLE, FL 32256, USA","JOHNSON & JOHNSON VISION CARE, INC., 7500 CENTURION PARKWAY, JACKSONVILLE, FL 32256, USA | JOHNSON & JOHNSON VISION CARE (IRELAND), THE NATIONAL TECHNOLOGY PARK, LIMERICK, IRELAND"
11,"JOHNSON & JOHNSON VISION CARE (IRELAND), THE NATIONAL TECHNOLOGY PARK, LIMERICK, IRELAND","JOHNSON & JOHNSON VISION CARE, INC. 7500 CENTURION PARKWAY, JACKSONVILLE, FL 32256 USA | JOHNSON & JOHNSON VISION CARE (IRELAND), THE NATIONAL TECHNOLOGY PARK, LIMERICK, IRELAND"
12,"JOHNSON & JOHNSON VISION CARE, INC., 7500 CENTURION PARKWAY, JACKSONVILLE, FL 32256, USA","JOHNSON & JOHNSON VISION CARE, INC. 7500 CENTURION PARKWAY, JACKSONVILLE, FL 32256 USA | JOHNSON & JOHNSON VISION CARE (IRELAND), THE NATIONAL TECHNOLOGY PARK, LIMERICK, IRELAND"
